ts,username,ok,stage,latency_ms,noop_count,status_count,error
1769292618.330,user055,1,done,600058.994,19,9,
1769292618.330,user077,1,done,600053.764,19,9,
1769292618.330,user056,1,done,600058.664,19,9,
1769292618.330,user052,1,done,600059.589,19,9,
1769292618.330,user047,1,done,600060.815,19,9,
1769292618.330,user078,1,done,600053.589,19,9,
1769292618.330,user050,1,done,600060.291,19,9,
1769292618.330,user068,1,done,600056.103,19,9,
1769292618.330,user071,1,done,600055.421,19,9,
1769292618.330,user074,1,done,600054.479,19,9,
1769292618.330,user051,1,done,600059.909,19,9,
1769292618.330,user070,1,done,600055.592,19,9,
1769292618.344,user104,1,done,600059.951,19,9,
1769292618.344,user080,1,done,600066.529,19,9,
1769292618.344,user083,1,done,600066.053,19,9,
1769292618.344,user089,1,done,600063.326,19,9,
1769292618.344,user092,1,done,600062.759,19,9,
1769292618.344,user082,1,done,600066.906,19,9,
1769292618.344,user091,1,done,600063.670,19,9,
1769292618.344,user090,1,done,600063.777,19,9,
1769292618.344,user103,1,done,600060.814,19,9,
1769292618.345,user105,1,done,600060.843,19,9,
1769292618.345,user095,1,done,600063.111,19,9,
1769292618.345,user106,1,done,600060.613,19,9,
1769292618.345,user101,1,done,600061.530,19,9,
1769292618.345,user081,1,done,600067.539,19,9,
1769292618.345,user079,1,done,600067.777,19,9,
1769292618.345,user107,1,done,600060.230,19,9,
1769292618.345,user086,1,done,600065.854,19,9,
1769292618.345,user093,1,done,600064.090,19,9,
1769292618.345,user096,1,done,600063.369,19,9,
1769292618.346,user099,1,done,600062.838,19,9,
1769292618.346,user088,1,done,600065.371,19,9,
1769292618.346,user084,1,done,600067.742,19,9,
1769292618.346,user108,1,done,600060.907,19,9,
1769292618.346,user100,1,done,600062.879,19,9,
1769292618.346,user102,1,done,600062.447,19,9,
1769292618.346,user094,1,done,600064.297,19,9,
1769292618.346,user098,1,done,600063.270,19,9,
1769292618.346,user085,1,done,600067.510,19,9,
1769292618.346,user087,1,done,600065.928,19,9,
1769292618.346,user097,1,done,600063.761,19,9,
1769292618.357,user120,1,done,600069.141,19,9,
1769292618.357,user140,1,done,600062.002,19,9,
1769292618.357,user123,1,done,600068.647,19,9,
1769292618.357,user117,1,done,600070.340,19,9,
1769292618.360,user128,1,done,600070.641,19,9,
1769292618.361,user134,1,done,600069.859,19,9,
1769292618.361,user127,1,done,600071.948,19,9,
1769292618.361,user119,1,done,600073.655,19,9,
1769292618.361,user111,1,done,600075.700,19,9,
1769292618.361,user132,1,done,600070.468,19,9,
1769292618.361,user112,1,done,600075.528,19,9,
1769292618.361,user136,1,done,600067.717,19,9,
1769292618.361,user131,1,done,600070.791,19,9,
1769292618.361,user114,1,done,600074.924,19,9,
1769292618.361,user125,1,done,600072.451,19,9,
1769292618.362,user138,1,done,600067.058,19,9,
1769292618.362,user139,1,done,600066.926,19,9,
1769292618.362,user135,1,done,600069.870,19,9,
1769292618.362,user129,1,done,600071.726,19,9,
1769292618.362,user124,1,done,600072.950,19,9,
1769292618.362,user118,1,done,600074.258,19,9,
1769292618.362,user116,1,done,600074.788,19,9,
1769292618.362,user137,1,done,600067.235,19,9,
1769292618.362,user122,1,done,600073.362,19,9,
1769292618.362,user121,1,done,600073.479,19,9,
1769292618.362,user113,1,done,600075.785,19,9,
1769292618.362,user130,1,done,600071.356,19,9,
1769292618.362,user110,1,done,600076.682,19,9,
1769292618.362,user126,1,done,600072.637,19,9,
1769292618.362,user109,1,done,600076.915,19,9,
1769292618.362,user133,1,done,600070.691,19,9,
1769292618.362,user115,1,done,600075.376,19,9,
1769292618.373,user161,1,done,600072.662,19,9,
1769292618.374,user160,1,done,600073.823,19,9,
1769292618.374,user156,1,done,600075.154,19,9,
1769292618.377,user141,1,done,600082.325,19,9,
1769292618.377,user149,1,done,600079.991,19,9,
1769292618.377,user166,1,done,600074.819,19,9,
1769292618.377,user170,1,done,600073.518,19,9,
1769292618.377,user164,1,done,600075.244,19,9,
1769292618.377,user153,1,done,600078.998,19,9,
1769292618.377,user143,1,done,600081.721,19,9,
1769292618.377,user155,1,done,600078.602,19,9,
1769292618.377,user144,1,done,600081.327,19,9,
1769292618.377,user168,1,done,600074.042,19,9,
1769292618.377,user158,1,done,600078.042,19,9,
1769292618.377,user163,1,done,600075.529,19,9,
1769292618.378,user154,1,done,600078.766,19,9,
